,Upper Left Eye x,Upper Left Eye y,Lower Left Eye x,Lower Left Eye y,Upper Right Eye x,Upper Right Eye y,Lower Right Eye x,Lower Right Eye y,SB x,SB y,Upper Tail x,Upper Tail y,Mid-Tail x,Mid-Tail y,Lower Tail x,Lower Tail y,Tail Tip x,Tail Tip y,Head x,Head y
42,1427.7578,90.35156,1315.3359,22.898438,1427.7578,157.80469,1315.3359,180.28906,1068.0078,135.32031,798.1953,157.80469,550.8672,202.77344,281.0547,225.25781,33.726562,270.22656,1360.3047,112.83594
43,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,224.75,33.75,269.75,1361.25,112.25
44,1424.7812,90.15625,1312.5938,22.84375,1424.7812,157.46875,1312.5938,179.90625,1065.7812,135.03125,796.53125,157.46875,549.71875,202.34375,280.46875,224.78125,33.65625,269.65625,1379.9062,112.59375
45,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,224.75,33.75,269.75,1361.25,112.25
46,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,821.25,157.25,551.25,202.25,303.75,224.75,33.75,269.75,1361.25,112.25
47,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,224.75,33.75,269.75,1361.25,112.25
48,1427.7578,90.35156,1315.3359,22.898438,1427.7578,157.80469,1315.3359,180.28906,1068.0078,112.83594,798.1953,157.80469,550.8672,202.77344,281.0547,225.25781,33.726562,270.22656,1360.3047,112.83594
49,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,303.75,224.75,33.75,247.25,1361.25,112.25
50,1428.8125,90.5625,1316.9375,23.4375,1428.8125,157.6875,1316.9375,180.0625,1070.8125,112.9375,802.3125,157.6875,556.1875,180.0625,287.6875,202.4375,41.5625,224.8125,1361.6875,112.9375
51,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,821.25,157.25,551.25,202.25,281.25,202.25,33.75,202.25,1361.25,112.25
52,1428.8047,68.57031,1316.8516,23.789062,1428.8047,158.13281,1316.8516,180.52344,1070.5547,113.35156,801.8672,158.13281,555.5703,202.91406,286.8828,225.30469,18.195312,247.69531,1361.6328,113.35156
53,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
54,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,528.75,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
55,1427.7578,90.35156,1315.3359,22.898438,1427.7578,157.80469,1315.3359,180.28906,1068.0078,112.83594,798.1953,157.80469,550.8672,202.77344,303.53906,225.25781,33.726562,247.74219,1360.3047,112.83594
56,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,269.75,1361.25,112.25
57,1427.7578,90.35156,1315.3359,22.898438,1427.7578,157.80469,1315.3359,180.28906,1068.0078,112.83594,798.1953,157.80469,528.3828,202.77344,281.0547,247.74219,33.726562,292.71094,1360.3047,112.83594
58,1428.7891,68.33594,1316.6797,23.492188,1428.7891,158.02344,1316.6797,180.44531,1070.0391,135.60156,800.97656,158.02344,554.33594,202.86719,285.27344,225.28906,38.632812,247.71094,1361.5234,113.17969
59,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,224.75,33.75,269.75,1361.25,112.25
60,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,303.75,224.75,33.75,269.75,1361.25,112.25
61,1426.8281,90.765625,1315.1094,23.734375,1426.8281,157.79688,1315.1094,180.14062,1069.3281,135.45312,801.2031,157.79688,555.4219,202.48438,287.29688,224.82812,19.171875,269.51562,1359.7969,113.109375
62,1428.7578,90.35156,1316.3359,22.898438,1428.7578,157.80469,1316.3359,180.28906,1069.0078,112.83594,799.1953,157.80469,551.8672,202.77344,304.53906,225.25781,34.726562,270.22656,1361.3047,112.83594
63,1428.7656,89.953125,1316.4219,22.546875,1428.7656,157.35938,1316.4219,179.82812,1069.2656,134.89062,799.6406,157.35938,552.4844,202.29688,282.85938,224.76562,35.703125,269.70312,1361.3594,112.421875
64,1427.7578,90.35156,1315.3359,22.898438,1427.7578,157.80469,1315.3359,180.28906,1068.0078,135.32031,798.1953,157.80469,550.8672,202.77344,303.53906,225.25781,33.726562,270.22656,1360.3047,112.83594
65,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,303.75,224.75,33.75,269.75,1361.25,112.25
66,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,224.75,33.75,269.75,1361.25,112.25
67,1427.7578,90.35156,1315.3359,22.898438,1427.7578,157.80469,1315.3359,180.28906,1068.0078,135.32031,798.1953,157.80469,550.8672,202.77344,281.0547,225.25781,33.726562,247.74219,1360.3047,112.83594
68,1423.7969,90.359375,1311.7656,0.734375,1423.7969,157.57812,1311.7656,179.98438,1065.2969,135.17188,818.8281,157.57812,549.9531,202.39062,281.07812,224.79688,34.609375,269.60938,1378.9844,112.765625
69,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,528.75,202.25,258.75,247.25,33.75,269.75,1361.25,112.25
70,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,224.75,33.75,269.75,1361.25,112.25
71,1427.7578,90.35156,1315.3359,22.898438,1427.7578,157.80469,1315.3359,180.28906,1068.0078,135.32031,798.1953,157.80469,550.8672,202.77344,303.53906,225.25781,33.726562,247.74219,1360.3047,112.83594
72,1428.7734,90.55469,1316.5078,0.7421875,1428.7734,157.91406,1316.5078,180.36719,1069.5234,113.00781,800.08594,157.91406,553.10156,202.82031,283.66406,225.27344,36.679688,270.1797,1361.4141,113.00781
73,1428.7578,90.35156,1316.3359,22.898438,1428.7578,157.80469,1316.3359,180.28906,1069.0078,135.32031,799.1953,157.80469,529.3828,202.77344,282.0547,247.74219,34.726562,270.22656,1361.3047,112.83594
74,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,224.75,33.75,269.75,1361.25,112.25
75,1425.7734,90.55469,1313.5078,23.195312,1425.7734,157.91406,1313.5078,180.36719,1066.5234,135.46094,797.08594,157.91406,550.10156,180.36719,280.66406,225.27344,11.2265625,202.82031,1358.4141,113.00781
76,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,202.25,33.75,202.25,1361.25,112.25
77,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,224.75,11.25,247.25,1361.25,112.25
78,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,528.75,202.25,258.75,247.25,33.75,292.25,1361.25,112.25
79,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,224.75,33.75,269.75,1361.25,112.25
80,1428.8125,90.5625,1316.9375,23.4375,1428.8125,157.6875,1316.9375,180.0625,1070.8125,112.9375,802.3125,157.6875,556.1875,202.4375,287.6875,224.8125,41.5625,247.1875,1361.6875,112.9375
81,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,247.25,33.75,269.75,1361.25,112.25
82,1428.75,67.25,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,821.25,157.25,551.25,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
83,1428.8359,91.36719,1317.1953,2.0546875,1428.8359,158.35156,1317.1953,180.67969,1071.5859,113.69531,803.64844,158.35156,558.03906,203.00781,290.10156,225.33594,22.164062,247.66406,1361.8516,113.69531
84,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,247.25,33.75,269.75,1361.25,112.25
85,1397.0781,94.015625,1309.7031,6.640625,1397.0781,159.54688,1309.7031,181.39062,1069.4219,115.859375,807.2969,159.54688,545.1719,203.23438,283.04688,246.92188,42.765625,268.76562,1353.3906,115.859375
86,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,303.75,224.75,33.75,269.75,1361.25,112.25
87,1422.8125,90.5625,1310.9375,1.0625,1422.8125,157.6875,1310.9375,180.0625,1064.8125,135.3125,818.6875,157.6875,550.1875,202.4375,281.6875,224.8125,35.5625,269.5625,1378.0625,112.9375
88,1428.7969,67.953125,1316.7656,23.140625,1428.7969,157.57812,1316.7656,179.98438,1070.2969,112.765625,801.4219,157.57812,554.9531,202.39062,286.07812,224.79688,39.609375,269.60938,1361.5781,112.765625
89,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,224.75,33.75,269.75,1361.25,112.25
90,1423.8047,90.96094,1311.8516,1.3984375,1423.8047,158.13281,1311.8516,180.52344,1065.5547,135.74219,796.8672,158.13281,550.5703,202.91406,304.27344,225.30469,35.585938,270.08594,1379.0234,113.35156
91,1422.7969,90.359375,1310.7656,23.140625,1422.7969,157.57812,1310.7656,179.98438,1064.2969,135.17188,795.4219,157.57812,548.9531,202.39062,280.07812,224.79688,33.609375,269.60938,1377.9844,112.765625
92,1428.7734,90.55469,1316.5078,23.195312,1428.7734,157.91406,1316.5078,180.36719,1069.5234,113.00781,800.08594,157.91406,553.10156,202.82031,283.66406,225.27344,36.679688,270.1797,1361.4141,113.00781
93,1427.7578,90.35156,1315.3359,22.898438,1427.7578,157.80469,1315.3359,180.28906,1068.0078,112.83594,798.1953,157.80469,550.8672,202.77344,281.0547,225.25781,33.726562,270.22656,1360.3047,112.83594
94,1428.8047,68.57031,1316.8516,23.789062,1428.8047,158.13281,1316.8516,180.52344,1070.5547,113.35156,801.8672,158.13281,555.5703,202.91406,286.8828,225.30469,40.585938,270.08594,1361.6328,113.35156
