,Upper Left Eye x,Upper Left Eye y,Lower Left Eye x,Lower Left Eye y,Upper Right Eye x,Upper Right Eye y,Lower Right Eye x,Lower Right Eye y,SB x,SB y,Upper Tail x,Upper Tail y,Mid-Tail x,Mid-Tail y,Lower Tail x,Lower Tail y,Tail Tip x,Tail Tip y,Head x,Head y
34,702.14844,287.35156,657.21094,253.64844,713.3828,343.52344,645.97656,343.52344,544.8672,298.58594,398.8203,287.35156,264.0078,264.8828,140.42969,242.41406,5.6171875,219.94531,679.6797,309.8203
35,703.125,286.875,658.125,253.125,714.375,354.375,646.875,343.125,534.375,298.125,399.375,275.625,264.375,264.375,129.375,241.875,5.625,219.375,680.625,309.375
36,703.125,286.875,658.125,253.125,714.375,354.375,646.875,343.125,545.625,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,230.625,680.625,309.375
37,703.125,286.875,658.125,253.125,714.375,354.375,646.875,343.125,545.625,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,230.625,680.625,309.375
38,703.125,286.875,658.125,253.125,714.375,354.375,646.875,343.125,545.625,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
39,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,545.625,298.125,399.375,275.625,275.625,264.375,140.625,241.875,5.625,219.375,680.625,309.375
40,703.125,286.875,658.125,253.125,714.375,354.375,646.875,343.125,545.625,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
41,703.125,286.875,658.125,253.125,714.375,354.375,646.875,343.125,545.625,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
42,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,545.625,298.125,399.375,275.625,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
43,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,545.625,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
44,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,534.375,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
45,703.125,286.875,658.125,253.125,714.375,354.375,646.875,343.125,545.625,298.125,399.375,275.625,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
46,701.2656,286.73438,656.6406,253.26562,712.4219,353.67188,645.4844,342.51562,545.0781,297.89062,400.04688,286.73438,266.17188,264.42188,143.45312,242.10938,9.578125,219.79688,678.9531,309.04688
47,702.2422,287.2578,657.5547,253.74219,713.41406,354.28906,646.3828,343.1172,545.83594,298.4297,400.60156,276.08594,277.71094,264.91406,143.64844,242.57031,9.5859375,220.22656,679.89844,309.60156
48,703.125,286.875,658.125,253.125,714.375,354.375,646.875,343.125,545.625,298.125,399.375,286.875,275.625,264.375,151.875,241.875,5.625,219.375,680.625,309.375
49,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,545.625,298.125,399.375,275.625,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
50,703.1719,286.82812,658.2969,253.17188,714.3906,354.14062,647.0781,342.92188,546.1094,298.04688,400.26562,275.60938,265.64062,264.39062,142.23438,241.95312,7.609375,219.51562,680.7344,309.26562
51,702.2422,287.2578,657.5547,253.74219,713.41406,343.1172,646.3828,343.1172,545.83594,298.4297,400.60156,287.2578,266.53906,264.91406,143.64844,242.57031,9.5859375,220.22656,679.89844,309.60156
