scorer,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200
bodyparts,Upper Left Eye,Upper Left Eye,Upper Left Eye,Lower Left Eye,Lower Left Eye,Lower Left Eye,Upper Right Eye,Upper Right Eye,Upper Right Eye,Lower Right Eye,Lower Right Eye,Lower Right Eye,SB,SB,SB,Upper Tail,Upper Tail,Upper Tail,Mid-Tail,Mid-Tail,Mid-Tail,Lower Tail,Lower Tail,Lower Tail,Tail Tip,Tail Tip,Tail Tip,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
28,699.3828,231.72656,0.97989744,643.9922,198.49219,0.9942358,688.3047,276.03906,0.9800881,632.91406,287.1172,0.9895152,522.1328,242.80469,0.98091495,400.27344,242.80469,0.9989147,278.41406,242.80469,0.99758935,156.55469,231.72656,1.0,23.617188,220.64844,1.0,666.14844,253.88281,0.97347945
29,699.40625,231.28125,0.99092984,644.09375,198.09375,0.9963411,688.34375,275.53125,0.9800178,633.03125,286.59375,0.994464,522.40625,253.40625,0.9798587,400.71875,242.34375,0.993865,279.03125,242.34375,0.99582124,157.34375,231.28125,0.9957688,24.59375,220.21875,0.9920283,666.21875,253.40625,0.982259
30,697.4297,231.83594,0.99584496,642.1953,198.69531,0.98886836,697.4297,276.02344,0.97905165,642.1953,287.0703,0.9838898,520.6797,242.88281,0.9794002,399.16406,242.88281,0.9949516,277.64844,242.88281,0.9941843,156.13281,231.83594,0.99577147,23.570312,220.78906,0.9969131,664.28906,253.92969,0.98508185
31,699.3594,231.17188,0.9860068,643.8906,197.89062,0.99283195,688.2656,275.54688,0.97196823,632.7969,286.64062,0.9886794,521.8594,242.26562,0.980301,399.82812,242.26562,1.0,277.79688,242.26562,0.9992766,155.76562,231.17188,0.9917707,22.640625,220.07812,0.98522013,666.0781,253.35938,0.97509557
32,700.4531,231.39062,0.9770495,645.2969,198.29688,0.9909808,689.4219,275.51562,0.97868794,634.2656,286.54688,0.99472225,523.9531,253.45312,0.9809416,402.60938,242.42188,0.993138,281.26562,242.42188,1.0,159.92188,231.39062,0.9935997,27.546875,220.35938,0.9773986,667.3594,253.45312,0.97602016
33,698.3594,231.17188,0.99491596,642.8906,197.89062,0.9879118,698.3594,275.54688,0.97160274,631.7969,286.64062,0.9884196,520.8594,242.26562,0.9782135,398.82812,242.26562,0.99920535,276.79688,242.26562,0.9968052,154.76562,231.17188,1.0,21.640625,220.07812,1.0,665.0781,253.35938,0.9853012
34,698.3594,231.17188,0.9914696,642.8906,197.89062,0.9862376,687.2656,275.54688,0.9807742,631.7969,286.64062,0.9836104,520.8594,253.35938,0.9764767,398.82812,242.26562,1.0,276.79688,242.26562,0.9923329,154.76562,231.17188,1.0,21.640625,220.07812,1.0,665.0781,253.35938,0.9864321
35,698.3594,231.17188,0.9908085,642.8906,197.89062,0.9843048,687.2656,275.54688,0.97359824,631.7969,286.64062,0.9912687,520.8594,253.35938,0.9788615,398.82812,242.26562,0.99843043,276.79688,242.26562,1.0,154.76562,231.17188,1.0,21.640625,220.07812,1.0,665.0781,253.35938,0.9863704
36,699.33594,231.61719,0.9882315,643.78906,198.28906,0.9930623,688.22656,276.0547,0.9787411,632.6797,287.16406,0.990018,521.58594,242.72656,0.9797647,399.3828,242.72656,0.9924508,277.1797,242.72656,0.99786913,154.97656,231.61719,1.0,21.664062,220.50781,1.0,666.0078,253.83594,0.9833126
37,698.3828,231.72656,0.98969644,642.9922,198.49219,0.99024135,687.3047,276.03906,0.9803248,631.91406,287.1172,0.9862999,521.1328,253.88281,0.98214084,399.27344,242.80469,0.996857,277.41406,242.80469,1.0,155.55469,231.72656,1.0,22.617188,220.64844,0.9945015,665.14844,253.88281,0.9908979
38,699.3828,231.72656,0.98248726,643.9922,198.49219,0.9919109,688.3047,276.03906,0.98060316,632.91406,287.1172,0.98473823,522.1328,242.80469,0.97986186,400.27344,242.80469,0.9983747,278.41406,242.80469,0.99817944,156.55469,231.72656,1.0,23.617188,220.64844,0.9884982,666.14844,253.88281,0.97458386
39,699.3594,220.07812,0.98002785,643.8906,197.89062,0.98815334,688.2656,275.54688,0.97580534,632.7969,286.64062,0.98410475,521.8594,253.35938,0.98347884,399.82812,242.26562,0.99718106,277.79688,242.26562,1.0,155.76562,231.17188,1.0,22.640625,220.07812,0.99978393,666.0781,253.35938,0.97791845
40,698.3828,231.72656,0.9922112,642.9922,198.49219,0.9935579,687.3047,276.03906,0.97723997,631.91406,287.1172,0.9880837,521.1328,242.80469,0.98158425,399.27344,242.80469,0.9986485,277.41406,242.80469,0.9983718,155.55469,231.72656,1.0,22.617188,220.64844,1.0,665.14844,253.88281,0.9892332
41,697.40625,231.28125,0.9843376,642.09375,198.09375,0.9915642,697.40625,275.53125,0.979564,642.09375,286.59375,0.98519456,520.40625,242.34375,0.97941285,398.71875,242.34375,0.9972518,277.03125,242.34375,0.99929047,155.34375,231.28125,1.0,22.59375,220.21875,0.9959161,664.21875,253.40625,0.99394923
