scorer,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200
bodyparts,Upper Left Eye,Upper Left Eye,Upper Left Eye,Lower Left Eye,Lower Left Eye,Lower Left Eye,Upper Right Eye,Upper Right Eye,Upper Right Eye,Lower Right Eye,Lower Right Eye,Lower Right Eye,SB,SB,SB,Upper Tail,Upper Tail,Upper Tail,Mid-Tail,Mid-Tail,Mid-Tail,Lower Tail,Lower Tail,Lower Tail,Tail Tip,Tail Tip,Tail Tip,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
21,702.14844,287.35156,0.9997699,657.21094,253.64844,0.9955227,713.3828,343.52344,0.9869082,645.97656,343.52344,0.9792987,544.8672,298.58594,0.97986835,398.8203,287.35156,0.9911042,264.0078,264.8828,0.97373784,151.66406,231.17969,0.99055773,5.6171875,208.71094,0.96938396,679.6797,309.8203,0.98599
22,703.125,286.875,0.9919445,658.125,253.125,1.0,714.375,343.125,0.9978733,646.875,343.125,0.99455225,545.625,298.125,0.9746068,399.375,275.625,0.9863347,275.625,264.375,0.9592589,140.625,230.625,0.98717695,5.625,208.125,0.9917375,680.625,309.375,0.9878518
23,703.1719,286.82812,0.990966,658.2969,253.17188,0.99351245,714.3906,342.92188,0.97777206,647.0781,354.14062,0.97940016,534.8906,298.04688,0.9793823,400.26562,286.82812,0.98071456,265.64062,264.39062,0.97918,142.23438,230.73438,0.98487705,7.609375,208.29688,0.98048013,680.7344,309.26562,0.9769734
24,702.14844,287.35156,0.9995601,657.21094,253.64844,1.0,713.3828,343.52344,0.9845665,645.97656,343.52344,0.9980391,544.8672,298.58594,0.97516114,398.8203,287.35156,0.9869356,275.2422,253.64844,0.9736794,151.66406,231.17969,1.0,5.6171875,208.71094,0.9993895,679.6797,309.8203,0.99809754
25,703.125,286.875,0.9840546,658.125,253.125,0.9956972,714.375,343.125,1.0,646.875,343.125,0.98220843,545.625,298.125,0.9926564,399.375,286.875,0.9918241,275.625,264.375,0.97201693,151.875,230.625,0.98985684,5.625,208.125,0.9888305,680.625,309.375,0.98478264
26,703.125,286.875,0.9885041,658.125,253.125,0.9971126,714.375,343.125,0.9829537,646.875,354.375,0.9815403,545.625,298.125,0.98232883,399.375,286.875,0.98896253,275.625,253.125,0.964094,151.875,230.625,0.9885853,5.625,208.125,0.9849479,680.625,309.375,0.9892442
27,701.1719,286.82812,0.99055487,656.2969,253.17188,1.0,712.3906,342.92188,1.0,645.0781,342.92188,0.98400056,544.1094,298.04688,0.97718066,398.26562,286.82812,0.98128015,274.85938,253.17188,0.97529024,151.45312,230.73438,1.0,5.609375,208.29688,0.9784271,678.7344,309.26562,0.988189
28,702.2656,286.73438,0.9967426,657.6406,253.26562,0.9994413,713.4219,342.51562,0.9958321,646.4844,342.51562,0.9805475,546.0781,297.89062,0.983402,401.04688,286.73438,0.99794376,278.32812,264.42188,0.97394097,144.45312,230.95312,0.98865825,10.578125,208.64062,0.979648,679.9531,309.04688,0.9887626
29,701.3125,286.6875,0.98938966,656.8125,253.3125,0.99842453,712.4375,342.3125,0.99981695,645.6875,353.4375,0.979965,545.5625,297.8125,0.9789503,400.9375,286.6875,0.9905982,278.5625,253.3125,0.96470064,156.1875,231.0625,0.9945797,11.5625,208.8125,1.0,679.0625,308.9375,0.978255
30,701.21875,286.78125,0.99080706,656.46875,253.21875,0.9987361,712.40625,342.71875,0.9875199,645.28125,342.71875,0.9882225,544.59375,297.96875,0.9809284,399.15625,286.78125,0.9890406,264.90625,264.40625,0.9838121,141.84375,230.84375,0.9910328,7.59375,208.46875,0.996637,678.84375,309.15625,0.9873861
31,703.1719,286.82812,0.9887641,658.2969,253.17188,0.99360335,714.3906,342.92188,0.98363566,647.0781,342.92188,0.98357713,534.8906,298.04688,0.974829,400.26562,286.82812,0.98894453,265.64062,264.39062,0.9709146,153.45312,230.73438,0.9773235,7.609375,208.29688,0.98778534,680.7344,309.26562,0.98318857
32,703.125,286.875,0.9967213,658.125,253.125,0.99921364,714.375,343.125,0.9860488,646.875,343.125,0.9913754,534.375,298.125,0.975638,399.375,286.875,0.9843729,275.625,264.375,0.97217375,151.875,230.625,0.98756456,5.625,208.125,0.95519894,680.625,309.375,0.98598945
33,702.28906,287.21094,1.0,657.72656,253.78906,0.99740994,713.4297,342.91406,0.9913048,646.58594,342.91406,0.9969047,535.1797,298.35156,0.9751471,390.35156,276.0703,0.9787537,267.8047,264.9297,0.98559934,145.25781,231.50781,0.9908947,11.5703125,209.22656,0.9875452,680.0078,309.4922,0.9957664
34,703.125,286.875,0.9958513,658.125,253.125,0.99258953,714.375,343.125,0.9913997,646.875,343.125,0.98907316,534.375,298.125,0.9746532,399.375,275.625,0.98013955,264.375,264.375,0.98660856,140.625,230.625,0.9831025,5.625,208.125,1.0,680.625,309.375,0.9823752
35,703.125,286.875,0.99311715,658.125,253.125,0.9987337,714.375,343.125,0.9994836,646.875,343.125,0.98600024,545.625,298.125,0.9846246,399.375,286.875,0.99082094,275.625,253.125,0.9682108,140.625,230.625,0.98293984,5.625,208.125,1.0,680.625,309.375,0.9887164
36,702.28906,287.21094,0.99553484,657.72656,253.78906,0.9988274,713.4297,342.91406,1.0,646.58594,342.91406,0.99058366,535.1797,298.35156,0.9778577,401.4922,276.0703,0.9810361,267.8047,264.9297,0.98730075,145.25781,231.50781,0.9870812,11.5703125,209.22656,0.99901175,680.0078,309.4922,0.9811659
37,703.125,286.875,0.98890525,658.125,253.125,0.99434674,714.375,343.125,0.99378693,646.875,343.125,0.989398,534.375,298.125,0.98388934,399.375,286.875,0.98820114,275.625,253.125,0.9792288,140.625,230.625,0.98219883,5.625,208.125,0.98619765,680.625,309.375,0.9870506
38,703.125,286.875,0.99015903,658.125,253.125,0.9990092,714.375,343.125,0.9903519,646.875,343.125,0.9764465,545.625,298.125,0.9823606,399.375,275.625,0.9850474,264.375,253.125,0.9808328,140.625,230.625,0.9898501,5.625,208.125,0.980226,680.625,309.375,0.9937857
39,700.1953,287.3047,0.9988687,655.3828,253.69531,0.99902105,711.39844,343.3203,0.99307853,655.3828,343.3203,0.98186743,543.35156,298.5078,0.9921247,397.71094,287.3047,0.9867666,274.47656,264.89844,0.9839569,151.24219,231.28906,0.9968571,5.6015625,208.88281,0.9913856,677.78906,309.71094,0.9777143
40,703.125,286.875,0.99650145,658.125,253.125,0.99380994,714.375,343.125,0.9887455,646.875,343.125,0.98093605,545.625,298.125,0.9727249,399.375,275.625,0.987677,264.375,253.125,0.9770427,140.625,230.625,0.99617124,5.625,208.125,1.0,680.625,309.375,0.9862048
41,701.1719,286.82812,1.0,656.2969,253.17188,0.99609977,712.3906,342.92188,0.99095625,645.0781,342.92188,0.98219633,532.8906,298.04688,0.967379,398.26562,286.82812,0.98712546,274.85938,264.39062,0.9820274,151.45312,230.73438,0.98581433,5.609375,208.29688,1.0,678.7344,309.26562,0.9852272
42,703.125,286.875,0.9911231,658.125,253.125,0.99241537,714.375,343.125,0.9740148,646.875,354.375,0.9823726,545.625,298.125,0.9834421,399.375,286.875,0.98736334,275.625,264.375,0.97709394,151.875,230.625,0.99979323,5.625,208.125,0.9902851,680.625,309.375,0.9899998
43,703.125,286.875,1.0,658.125,253.125,0.9998335,714.375,343.125,0.986627,646.875,343.125,0.9894407,545.625,298.125,0.984377,399.375,286.875,0.98862153,264.375,264.375,0.9850324,140.625,230.625,0.9980041,5.625,208.125,1.0,680.625,309.375,0.99321127
