,Lower Tail Angle,Mid-Tail Angle,Upper Tail Angle,SB Tail Angle,Active
3179,-0.07900456403239309,-0.07688935485919224,0.025335106882580227,0.01842863677715334,0
3180,-0.07797535405770395,-0.07909173808127568,0.02611051088931049,0.017391945986021007,0
3181,-0.083580588188791,-0.07287456923501834,0.026892794084603988,0.016340276963386913,0
3182,-0.08084266884024505,-0.0746164124756361,0.027703860001250025,0.01527757088433468,0
3183,-0.07679329453527561,-0.07955307244814458,0.029821118044544903,0.014215017764056537,0
3184,-0.08482196185253965,-0.07544368082356945,0.030647981028606885,0.013168978670492493,0
3185,-0.16980999170921152,-0.07749345505490712,0.03150461068808541,0.012132044052591162,0
3186,-0.08976446752223932,-0.08328309951248469,0.0323678391810982,0.011095640212825053,0
3187,0.352002235717094,-0.1670577608681616,0.03331041811461599,0.009954455816794994,1
3188,-0.18839370058775184,-0.0737835541027243,0.03425863513752292,0.008925043517892473,1
3189,-0.43396258904507956,0.009625646416676403,0.035277738104423584,0.007888183732100096,1
3190,0.36257440667038177,0.002678173396372774,-0.052788225473923145,0.006737475074925836,1
3191,0.36032968287792855,-0.18141685757429293,0.0418910288372758,0.005711344823725373,1
3192,-0.08514826327654301,-0.09640764462297202,0.04188219714888053,0.004686028514193641,1
3193,-0.08708173906730776,-0.08697351851735835,0.042035694647108546,0.0036543730049909406,0
3194,0.08865715053257395,-0.17534994871009246,0.042305931602242275,0.002598142576546003,0
3195,0.0036889810100957376,-0.1749552062366857,0.04265410988938534,0.0015427069303131091,0
3196,-0.08076105026923086,-0.08937429981589373,0.04305519091862342,0.0005005467274501463,0
3197,-0.08008059413984991,-0.09055982439663701,0.04349182027686771,-0.0005427121440839677,0
3198,-0.0811343642555804,-0.08732394266123,0.04241298854360265,-0.0016596666254256043,0
3199,-0.08156285008181463,-0.08685055167696021,0.04320628072767496,-0.00272205015510929,0
3200,-0.0782761353517829,-0.08839500198981876,0.042745259747499986,-0.0038063841329645243,0
3201,-0.08584993102062022,-0.08203055619300059,0.04351412339477889,-0.004902704072617503,0
3202,-0.08587579478245688,-0.08178983887745161,0.04425889284937323,-0.005991451890485777,0
3203,-0.08720707699596142,-0.0835928584400798,0.04498312976280694,-0.007133883376199357,0
3204,-0.16613192799701615,-0.08601932166029425,0.045691721161374765,-0.008225217668134999,1
3205,-0.4110149050529741,0.004367704765923186,0.046378534692942175,-0.009303832351401642,1
3206,-0.16634640205539908,-0.08674591150867261,0.04703374611615363,-0.010362957777943382,1
3207,-0.08642857481378874,-0.08692088216886118,0.047652095739436184,-0.011381116583068618,1
3208,-0.08456772407097413,-0.08623517437609474,0.04821579195706782,-0.012321353994684259,1
3209,-0.0865689247765693,-0.08190432246781354,0.048739225376477346,-0.013205619384127232,0
3210,-0.07916832310538124,-0.08758857609201476,0.049240009286319,-0.014065304929106848,0
3211,-0.08417585534871508,-0.0824547072651951,0.04971944734890954,-0.014898863973669574,0
3212,0.08927901933748394,-0.1734149266092313,0.05018047664540459,-0.015712158678703236,0
3213,-0.07672440962389748,-0.08811353386870469,0.050633905572183835,-0.01651819080799566,0
3214,-0.07470766242886562,-0.08821902152001115,0.0510417074909868,-0.0172763452474598,0
3215,-0.07419052403319348,-0.0891823889087493,0.05149628777480819,-0.018093103558448398,0
3216,-0.07809930603313653,-0.08519554431931287,0.05198026243411924,-0.018970543339728696,0
3217,-0.07813173580370147,-0.0851173379953738,0.052477544438549906,-0.01987818984494627,0
3218,-0.07480328467429054,-0.08823406163164105,0.05298256589468897,-0.020803522566258614,0
3219,-0.07557428752484485,-0.08683032366684795,0.05347386690610323,-0.021706739272388642,0
3220,-0.07775698774075401,-0.08744584091380059,0.05392623024151133,-0.022540594490863874,0
3221,-0.07743905839253662,-0.08715204452687386,0.054340112849881717,-0.02331124654464789,0
3222,-0.07281464105927427,-0.09177642142223297,0.05472883501839476,-0.024038015524177947,0
3223,-0.07255459626681082,-0.09055425332207445,0.05508921822246382,-0.02471521394401721,0
3224,-0.07288661613165281,-0.09113635708870449,0.05537023379945438,-0.02527026047079639,0
